순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
16,국내도서,싯다르타,329596 ,9788937460586 ,4850,"헤르만 헤세 지음, 박병덕 옮김",민음사,20020120,"8,000","7,200",400점,70774,소설/시/희곡
17,국내도서,[세트] 소년이 온다 + 작별하지 않는다 + 채식주의자(리마스터판) - 전3권,349420587 ,,3810,한강 지음,알라딘 이벤트,20140519,"48,800","43,920","2,440점",78881,소설/시/희곡
18,국내도서,사피엔스,314240466 ,9788934972464 ,3900,"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,20230401,"26,800","24,120","1,340점",141968,인문학
19,국내도서,"데일 카네기 인간관계론 + 자기관리론 + 성공대화론 (합본, 무선)",238429094 ,9791164452712 ,3320,"데일 카네기 지음, 베스트트랜스 옮김",더스토리,20200510,"8,800","7,920",440점,44697,자기계발
20,국내도서,줬으면 그만이지,307270319 ,9791186351543 ,3120,김주완 지음,피플파워,20230101,"20,000","18,000","1,000점",62713,인문학
21,국내도서,긴긴밤,263027170 ,9788954677158 ,73810,루리 지음,문학동네,20210203,"12,500","11,250",620점,139112,어린이
22,국내도서,ETS 토익 단기 공략 750+ (LC + RC),249196467 ,9788917235944 ,13740,ETS 지음,(주)YBM(와이비엠),20200820,"18,000","16,200",900점,70313,외국어
23,국내도서,소년과 두더지와 여우와 말,236826464 ,9788997381678 ,7840,"찰리 맥커시 지음, 이진경 옮김",상상의힘,20200420,"18,000","16,200",900점,60110,에세이
24,국내도서,만화로 보는 3분 철학 1 : 서양 고대 철학편,274349624 ,9791190776752 ,3160,김재훈.서정욱 지음,카시오페아,20210702,"16,000","14,400",800점,54337,인문학
25,국내도서,ETS 토익기출 파트별 VOCA 보카,307463655 ,9788917237481 ,13740,ETS 지음,(주)YBM(와이비엠),20221223,"13,000","11,700",650점,61059,외국어
26,국내도서,이기적 유전자,170482558 ,9788932473901 ,3470,"리처드 도킨스 지음, 홍영남.이상임 옮김",을유문화사,20181020,"20,000","18,000","1,000점",112585,과학
27,국내도서,EBS 다큐프라임 자본주의,31642609 ,9788957365793 ,3320,EBS 자본주의 제작팀 지음,가나출판사,20130927,"22,000","19,800","1,100점",80222,경제경영
28,국내도서,디 에센셜 한강 (무선 보급판),317840073 ,9788954693462 ,3810,한강 지음,문학동네,20230601,"17,000","15,300",850점,64781,소설/시/희곡
29,국내도서,나는 소망한다 내게 금지된 것을,189365205 ,9788998441074 ,3810,양귀자 지음,쓰다,20190420,"15,000","13,500",750점,49287,소설/시/희곡
30,국내도서,"바람이 분다, 가라",6467598 ,9788932020006 ,3810,한강 지음,문학과지성사,20100226,"14,000","12,600",700점,61762,소설/시/희곡
31,국내도서,데미안,260084 ,9788937460449 ,4850,"헤르만 헤세 지음, 전영애 옮김",민음사,20001220,"8,000","7,200",400점,102617,소설/시/희곡
32,국내도서,홍학의 자리,275879438 ,9788954681155 ,3810,정해연 지음,엘릭시르,20210726,"14,000","12,600",700점,53755,소설/시/희곡
33,국내도서,사피엔스 : 그래픽 히스토리 Vol.1,256860565 ,9788934991328 ,7900,"다니엘 카사나브 그림, 김명주 옮김, 유발 하라리 원작, 다비드 반데르묄렝 각색",김영사,20201123,"17,800","16,020",890점,47116,인문학
34,국내도서,어떻게 민주주의는 무너지는가,162341421 ,9791160560589 ,3340,"스티븐 레비츠키.대니얼 지블랫 지음, 박세연 옮김",어크로스,20181002,"16,800","15,120",840점,32281,사회과학
35,국내도서,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),209457983 ,9791187142560 ,3320,"데일 카네기 지음, 임상훈 옮김",현대지성,20191007,"11,500","10,350",570점,80707,자기계발
36,국내도서,초판본 어린 왕자 (무선),280504630 ,9791164455300 ,3860,"앙투안 드 생텍쥐페리 지음, 김미정 옮김",더스토리,20211004,"2,990","2,700",140점,45189,소설/시/희곡
37,국내도서,총 균 쇠,316294397 ,9788934942467 ,3900,"제레드 다이아몬드 지음, 강주헌 옮김",김영사,20230510,"29,800","26,820","1,490점",52117,인문학
38,국내도서,구의 증명,315614621 ,9791167372864 ,3810,최진영 지음,은행나무,20230426,"12,000","10,800",600점,60074,소설/시/희곡
39,국내도서,지적 대화를 위한 넓고 얕은 지식 1,228727924 ,9791190313186 ,3100,채사장 지음,웨일북,20200201,"19,000","17,100",950점,68061,인문학
40,국내도서,언젠가 우리가 같은 별을 바라본다면,285132160 ,9791191061048 ,43810,"차인표 지음, 제딧 그림",해결책,20211215,"12,000","10,800",600점,76558,청소년
41,국내도서,진짜 쓰는 실무 엑셀,288198356 ,9791191600704 ,13000,오빠두(전진권) 지음,제이펍,20220215,"21,000","18,900","1,050점",75432,컴퓨터/모바일
42,국내도서,[세트] 소년이 온다 + 채식주의자(리마스터판) - 전2권,349420594 ,,3810,한강 지음,창비,20140519,"32,000","28,800","1,600점",37977,소설/시/희곡
43,국내도서,맡겨진 소녀,315552626 ,9791130698199 ,3840,"클레어 키건 지음, 허진 옮김",다산책방,20230426,"13,000","11,700",650점,76822,소설/시/희곡
44,국내도서,여수의 사랑,173930433 ,9788932034812 ,3810,한강 지음,문학과지성사,20181109,"16,000","14,400",800점,51909,소설/시/희곡
45,국내도서,내면소통,311899364 ,9791168340855 ,,김주환 지음,인플루엔셜(주),20230227,"33,000","29,700","1,650점",54545,인문학
46,국내도서,죽음의 수용소에서,242120194 ,9788936811549 ,3180,"빅터 프랭클 지음, 이시형 옮김",청아출판사,20200530,"9,800","8,820",490점,64400,인문학
47,국내도서,"스토너 (초판본, 양장)",243703168 ,9788925538297 ,3840,"존 윌리엄스 지음, 김승욱 옮김",알에이치코리아(RHK),20200624,"18,000","16,200",900점,44508,소설/시/희곡
48,국내도서,JLPT 일본어능력시험 한권으로 끝내기 N3,280870672 ,9788927712435 ,14730,이치우. 기타지마 치즈코 지음,다락원,20211011,"27,000","24,300","1,350점",45387,외국어
49,국내도서,한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA),285716191 ,9788965424628 ,13740,해커스어학연구소 지음,해커스어학연구소(Hackers),20230807,"19,800","17,820",990점,41389,외국어
50,국내도서,물고기는 존재하지 않는다,284657330 ,9791189327156 ,3400,"룰루 밀러 지음, 정지인 옮김",곰출판,20211217,"17,000","15,300",850점,100214,과학
51,국내도서,1984 (오리지널 초판본 표지 디자인),245553124 ,9791190669238 ,3840,"조지 오웰 지음, 박유진 옮김, 박경서",코너스톤,20200630,"4,400","3,960",220점,31319,소설/시/희곡
52,국내도서,검은 사슴,126069723 ,9788954648905 ,4810,한강 지음,문학동네,20171220,"15,500","13,950",770점,34192,소설/시/희곡
53,국내도서,일본어 문법 무작정 따라하기,309638760 ,9791140702978 ,3730,후지이 아사리 지음,길벗이지톡,20230214,"26,000","23,400","1,300점",38067,외국어
54,국내도서,수레바퀴 아래서 (오리지널 초판본 표지디자인),98708362 ,9791187011606 ,4850,"헤르만 헤세 지음, 박지희 옮김, 김선형 해설",코너스톤,20170101,"3,300","2,970",160점,38050,소설/시/희곡
55,국내도서,달리기를 말할 때 내가 하고 싶은 이야기,3020589 ,9788970128337 ,3830,"무라카미 하루키 지음, 임홍빈 옮김",문학사상,20090105,"14,500","13,050",720점,58682,에세이
56,국내도서,"사람, 장소, 환대",56066229 ,9788932027265 ,93330,김현경 지음,문학과지성사,20150331,"16,000","14,400",800점,37960,사회과학
57,국내도서,사자왕 형제의 모험,62852784 ,9788936446734 ,73890,"아스트리드 린드그렌 지음, 김경희 옮김, 일론 비클란드 그림",창비,20150710,"13,000","11,700",650점,31533,어린이
58,국내도서,죽이고 싶은 아이,272118388 ,9791190337755 ,43810,이꽃님 지음,우리학교,20210607,"12,500","11,250",620점,53807,청소년
59,국내도서,1984,418906 ,9788937460777 ,4840,"조지 오웰 지음, 정회성 옮김",민음사,20030616,"11,000","9,900",550점,67300,소설/시/희곡
60,국내도서,이방인,212246612 ,9788937443848 ,,"알베르 카뮈 지음, 김화영 옮김",민음사,20190902,"10,000","9,000",500점,57811,소설/시/희곡
61,국내도서,인간 실격,491611 ,9788937461033 ,4830,"다자이 오사무 지음, 김춘미 옮김",민음사,20040515,"9,000","8,100",450점,76083,소설/시/희곡
62,국내도서,룩 백,290886787 ,9791168761841 ,,후지모토 타츠키 지음,학산문화사(만화),20220322,"6,000","5,400",300점,41591,만화
63,국내도서,정의란 무엇인가,48988418 ,9788937834790 ,3300,"마이클 샌델 지음, 김명철 옮김, 김선욱 감수",와이즈베리,20141120,"18,000","16,200",900점,62220,인문학
64,국내도서,사랑의 기술,203299303 ,9788931011623 ,3180,"에리히 프롬 지음, 황문수 옮김",문예출판사,20190819,"17,000","15,300",850점,39844,인문학
65,국내도서,여름을 한 입 베어 물었더니,322940527 ,9788954694575 ,3810,이꽃님 지음,문학동네,20230818,"12,500","11,250",620점,46230,청소년
66,국내도서,ETS 토익 단기 공략 850+ (LC + RC),297119304 ,9788917237955 ,13740,ETS 지음,(주)YBM(와이비엠),20220630,"19,500","17,550",970점,31519,외국어
67,국내도서,회복탄력성 (15만부 기념 리커버),187544571 ,9791189938772 ,13320,김주환 지음,위즈덤하우스,20190329,"14,800","13,320",740점,40541,자기계발
68,국내도서,어린 왕자 (오리지널 초판본),252131852 ,9791190669313 ,3860,"앙투안 드 생텍쥐페리 지음, 김수영 옮김, 변광배 해설",코너스톤,20200922,"3,300","2,970",160점,21192,소설/시/희곡
69,국내도서,브람스를 좋아하세요...,2156605 ,9788937461798 ,4800,"프랑수아즈 사강 지음, 김남주 옮김",민음사,20080502,"8,500","7,650",420점,40965,소설/시/희곡
70,국내도서,세상의 마지막 기차역 (리커버 에디션),311966272 ,9791191043754 ,,"무라세 다케시 지음, 김지연 옮김",모모,20220511,"14,000","12,600",700점,46500,소설/시/희곡
71,국내도서,JLPT 일본어능력시험 한권으로 끝내기 N2,279831796 ,9788927712428 ,14730,이치우.기타지마 치즈코 지음,다락원,20210930,"27,000","24,300","1,350점",32520,외국어
72,국내도서,면도날,4213854 ,9788937462146 ,4800,"서머싯 몸 지음, 안진환 옮김",민음사,20090630,"13,000","11,700",650점,30182,소설/시/희곡
73,국내도서,한국단편소설 50,280397250 ,9788965823148 ,43810,"김동인 외 지음, 성낙수 외 엮음",리베르스쿨,20211001,"18,800","16,920",940점,17848,청소년
74,국내도서,"돈의 속성 (300쇄 리커버 에디션, 양장)",288845971 ,9791188331796 ,3320,김승호 지음,스노우폭스북스,20200615,"17,800","16,020",890점,85310,경제경영
75,국내도서,일본어 상용한자 무작정 따라하기 1,309637967 ,9791140703050 ,3730,권경배 지음,길벗이지톡,20230130,"26,000","23,400","1,300점",30822,외국어
76,국내도서,마흔에 읽는 쇼펜하우어,323615985 ,9791192300818 ,3160,강용수 지음,유노북스,20230907,"17,000","15,300",850점,146971,인문학
77,국내도서,김재우의 영어회화 100,319980215 ,9791192389172 ,13740,김재우 지음,상상스퀘어,20230705,"22,000","19,800","1,100점",37257,외국어
78,국내도서,눈물상자,2173713 ,9788954605816 ,3810,"한강 지음, 봄로야 그림",문학동네,20080522,"10,000","9,000",500점,26539,소설/시/희곡
79,국내도서,내 여자의 열매,173930726 ,9788932034829 ,3810,한강 지음,문학과지성사,20181109,"14,000","12,600",700점,31283,소설/시/희곡
80,국내도서,그릿 GRIT (골드 에디션),306575678 ,9791162540633 ,3190,"앤절라 더크워스 지음, 김미정 옮김",비즈니스북스,20221215,"18,000","16,200",900점,64602,자기계발
81,국내도서,내가 아직 쓰지 않은 것,326115067 ,9788954698818 ,3810,최승호 외 지음,문학동네,20231016,"3,000","2,700",150점,30122,소설/시/희곡
82,국내도서,백년 허리 2 : 치료편,271247686 ,9791197437311 ,3510,정선근 지음,언탱글링,20210513,"18,500","16,650",920점,42256,건강/취미
83,국내도서,원씽 The One Thing (60만 부 기념 스페셜 에디션),331475851 ,9788997575169 ,13190,"게리 켈러 & 제이 파파산 지음, 구세희 옮김",비즈니스북스,20130830,"16,800","15,120",840점,65064,자기계발
84,국내도서,부자 아빠 가난한 아빠 1 (20주년 특별 기념판),134925661 ,9791158883591 ,3320,"로버트 기요사키 지음, 안진환 옮김",민음인,20180222,"17,000","15,300",850점,66515,경제경영
85,국내도서,우리가 빛의 속도로 갈 수 없다면,193591681 ,9791190090018 ,3810,김초엽 지음,허블,20190624,"17,000","15,300",850점,63016,소설/시/희곡
86,국내도서,이토록 공부가 재미있어지는 순간 (50만 부 기념 우리들 에디션),321112084 ,9791130604626 ,13370,박성혁 지음,다산북스,20230801,"18,000","16,200",900점,58770,청소년
87,국내도서,삐뽀삐뽀 119 이유식,124853398 ,9791195795529 ,3590,하정훈 지음,유니책방,20171201,"18,900","17,010",940점,33842,좋은부모
88,국내도서,세계를 건너 너에게 갈게,133668671 ,9788954650212 ,3810,이꽃님 지음,문학동네,20180209,"13,500","12,150",670점,56351,청소년
89,국내도서,"파과 (리커버, 영화표지)",361279117 ,9791162203620 ,3810,구병모 지음,위즈덤하우스,20180316,"15,800","14,220",790점,70369,소설/시/희곡
90,국내도서,동물농장,40674 ,9788937460050 ,4840,"조지 오웰 지음, 도정일 옮김",민음사,19980805,"8,000","7,200",400점,75834,소설/시/희곡
91,국내도서,아주 작은 습관의 힘,182285146 ,9791162540640 ,3190,"제임스 클리어 지음, 이한이 옮김",비즈니스북스,20190226,"16,000","14,400",800점,66827,자기계발
92,국내도서,노르웨이의 숲,115614994 ,9788937434488 ,3830,"무라카미 하루키 지음, 양억관 옮김",민음사,20170807,"17,000","15,300",850점,36878,소설/시/희곡
93,국내도서,동물농장 (오리지널 초판본 표지 디자인),245552608 ,9791190669221 ,3840,"조지 오웰 지음, 이수정 옮김, 박경서 해설",코너스톤,20200630,"3,300","2,970",160점,22032,소설/시/희곡
94,국내도서,프로젝트 헤일메리,270454373 ,9788925588735 ,3840,"앤디 위어 지음, 강동혁 옮김",알에이치코리아(RHK),20210504,"22,000","19,800","1,100점",32915,소설/시/희곡
95,국내도서,10일 만에 끝내는 해커스 OPIc 오픽 (Advanced 공략),317484824 ,9791137910539 ,13740,해커스 오픽연구소 지음,(주)해커스,20231023,"25,000","22,500","1,250점",25818,외국어
96,국내도서,자유론 (무삭제 완역본),147125674 ,9791187142447 ,3300,"존 스튜어트 밀 지음, 박문재 옮김",현대지성,20180601,"8,800","7,920",440점,29567,인문학
97,국내도서,파친코 1,294963999 ,9791168340510 ,4840,"이민진 지음, 신승미 옮김",인플루엔셜(주),20220727,"15,800","14,220",790점,41513,소설/시/희곡
98,국내도서,자기 앞의 생,97517868 ,9788982816635 ,3860,"에밀 아자르 지음, 용경식 옮김",문학동네,20030506,"16,000","14,400",800점,51244,소설/시/희곡
99,국내도서,미키7,298575171 ,9791170521730 ,3840,"에드워드 애슈턴 지음, 배지혜 옮김",황금가지,20220722,"17,000","15,300",850점,18533,소설/시/희곡
100,국내도서,지적 대화를 위한 넓고 얕은 지식 2,228728501 ,9791190313193 ,3100,채사장 지음,웨일북,20200201,"19,000","17,100",950점,40093,인문학
101,국내도서,미키7 완전판 세트 - 전2권,329567292 ,9791170523383 ,4840,"에드워드 애슈턴 지음, 진서희 옮김",황금가지,20231117,"27,000","24,300","1,350점",13108,소설/시/희곡
102,국내도서,오늘의 일인분 일식,195151878 ,9791188601233 ,13590,"베터홈 협회 지음, 이진숙 옮김",참돌,20190617,"4,400","3,960",220점,27795,요리/살림
103,국내도서,도둑맞은 집중력,315599742 ,9791167740984 ,3180,"요한 하리 지음, 김하현 옮김",어크로스,20230428,"18,800","16,920",940점,92813,인문학
104,국내도서,오십에 읽는 주역,327278828 ,9791192300917 ,3140,강기진 지음,유노북스,20231031,"17,000","15,300",850점,35277,인문학
105,국내도서,파친코 2,294964187 ,9791168340541 ,4840,"이민진 지음, 신승미 옮김",인플루엔셜(주),20220825,"15,800","14,220",790점,38712,소설/시/희곡
106,국내도서,세이노의 가르침 (화이트 에디션),309295168 ,9791168473690 ,3190,세이노(SayNo) 지음,데이원,20230302,"7,200","6,480",360점,199262,자기계발
107,국내도서,세이노의 가르침 (블랙 에디션),317973335 ,9791168473690 ,3190,세이노(SayNo) 지음,데이원,20230302,"7,200","6,480",360점,214854,자기계발
108,국내도서,전설로 떠나는 월가의 영웅,276636094 ,9788957825945 ,13320,"피터 린치.존 로스차일드 지음, 이건 옮김, 홍진채 감수",국일증권경제연구소,20210730,"26,000","23,400","1,300점",32507,경제경영
109,국내도서,쓸 만한 인간,202681004 ,9791189856502 ,3810,박정민 지음,상상출판,20190902,"14,200","12,780",710점,16548,에세이
110,국내도서,최소한의 한국사,318885306 ,9791198243430 ,3910,최태성 지음,프런트페이지,20230621,"18,000","16,200",900점,41590,역사
111,국내도서,리틀 라이프 1,85887573 ,9788952776372 ,4840,"한야 야나기하라 지음, 권진아 옮김",시공사,20160616,"14,800","13,320",740점,54842,소설/시/희곡
112,국내도서,지적 대화를 위한 넓고 얕은 지식 : 제로 편,219841523 ,9791190313131 ,3100,채사장 지음,웨일북,20191224,"23,000","20,700","1,150점",49205,인문학
113,국내도서,내가 본 미래,333304731 ,9791193070031 ,7830,"타츠키 료 지음, 전경아 옮김",도토리,20231031,"13,300","11,970",660점,14870,만화
114,국내도서,거꾸로 읽는 세계사,281820039 ,9791191438406 ,3900,유시민 지음,돌베개,20211029,"17,500","15,750",870점,43223,역사
115,국내도서,생각에 관한 생각,140135544 ,9788934981213 ,3320,"대니얼 카너먼 지음, 이창신 옮김",김영사,20180330,"29,800","26,820","1,490점",32770,경제경영
116,국내도서,꽃을 보듯 너를 본다,62163905 ,9791157280292 ,3810,나태주 지음,지혜,20150620,"13,000","11,700",650점,70142,소설/시/희곡
117,국내도서,참을 수 없는 존재의 가벼움 (리커버),347978053 ,9788937437564 ,3860,"밀란 쿤데라 지음, 이재룡 옮김",민음사,20180620,"17,000","15,300",850점,62377,소설/시/희곡
118,국내도서,"책문, 이 시대가 묻는다",61573997 ,9791195124480 ,3810,김태완 지음,현자의마을,20150615,"22,000","19,800","1,100점",34605,역사
119,국내도서,초판본 데미안,249433813 ,9791164453115 ,3850,"헤르만 헤세 지음, 이순학 옮김",더스토리,20200820,"2,200","1,980",110점,16570,소설/시/희곡
120,국내도서,타이탄의 도구들 (블랙 에디션),297142104 ,9791158510619 ,3190,"팀 페리스 지음, 박선령.정지현 옮김",토네이도,20220622,"18,000","16,200",900점,57089,자기계발
121,국내도서,파과 (리커버),337280601 ,,3810,구병모 지음,위즈덤하우스,20180416,"15,800","14,220",790점,33744,소설/시/희곡
122,국내도서,JLPT 일본어능력시험 한권으로 끝내기 N4,278100738 ,9788927712442 ,14730,이치우.이한나 지음,다락원,20210901,"27,000","24,300","1,350점",24468,외국어
123,국내도서,불편한 편의점 (벚꽃 에디션),290457417 ,9791161571188 ,3810,김호연 지음,나무옆의자,20210420,"14,000","12,600",700점,170685,소설/시/희곡
124,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),284153629 ,9788917238549 ,13740,ETS 엮음,(주)YBM(와이비엠),20211213,"17,800","16,020",890점,60250,외국어
125,국내도서,28시간에 끝내는 토익스피킹 스타트,295304241 ,9791186858387 ,,황인기.시원스쿨 어학연구소 지음,시원스쿨LAB,20220602,"17,900","16,110",890점,25971,외국어
126,국내도서,국가는 왜 실패하는가 (리커버),351774040 ,9788952766984 ,3300,"대런 애쓰모글루 외 지음, 최완규 옮김, 장경덕 감수",시공사,20120927,"28,000","25,200","1,400점",21622,사회과학
127,국내도서,백년 허리 1 : 진단편,269524451 ,9791197437304 ,3510,정선근 지음,언탱글링,20210415,"18,500","16,650",920점,34731,건강/취미
128,국내도서,"마흔에 읽는 쇼펜하우어 (리커버, 200쇄 기념 확장판)",341964832 ,9791192300818 ,3160,강용수 지음,유노북스,20230907,"17,000","15,300",850점,20553,인문학
129,국내도서,내가 되는 꿈 (리커버),350862747 ,9791190885621 ,4810,최진영 지음,현대문학,20210225,"15,000","13,500",750점,19065,소설/시/희곡
130,국내도서,설국,328730 ,9788937460616 ,4830,"가와바타 야스나리 지음, 유숙자 옮김",민음사,20020128,"8,000","7,200",400점,33735,소설/시/희곡
131,국내도서,경제금융용어 700선,249222069 ,9791155383933 ,3320,한국은행 편집부 엮음,한국은행,20200818,"8,000","8,000",0점,28826,경제경영
132,국내도서,노인과 바다,14522431 ,9788937462788 ,4800,"어니스트 헤밍웨이 지음, 김욱동 옮김",민음사,20120102,"8,000","7,200",400점,36446,소설/시/희곡
133,국내도서,거래의 기술,84543973 ,9788952234087 ,3320,"도널드 트럼프 지음, 이재호 옮김",살림,20160525,"22,000","19,800","1,100점",14815,경제경영
134,국내도서,오늘은 아무래도 덮밥,242903052 ,9791188601387 ,13590,"이마이 료 지음, 이진숙 옮김",참돌,20200612,"4,400","3,960",220점,21903,요리/살림
135,국내도서,순례 주택,266745690 ,9788949123493 ,44800,유은실 지음,비룡소,20210311,"15,000","13,500",750점,44743,청소년
136,국내도서,달과 6펜스,237763 ,9788937460388 ,4840,"서머셋 몸 지음, 송무 옮김",민음사,20000620,"10,000","9,000",500점,44432,소설/시/희곡
137,국내도서,데일 카네기 자기관리론,260572840 ,9791191280333 ,3320,"데일 카네기 지음, 임상훈 옮김",현대지성,20210113,"11,500","10,350",570점,42342,자기계발
138,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),284153150 ,9788917238532 ,13740,ETS 엮음,(주)YBM(와이비엠),20211213,"17,800","16,020",890점,55521,외국어
139,국내도서,다운튼 애비 애프터눈 티 쿡북,317340669 ,9791191212235 ,13590,"다운튼 애비 지음, 윤현정 옮김",아르누보,20230528,"4,400","3,960",220점,6935,요리/살림
140,국내도서,Do it! 점프 투 파이썬,317941024 ,9791163034735 ,13000,박응용 지음,이지스퍼블리싱,20230615,"22,000","19,800","1,100점",22246,컴퓨터/모바일
141,국내도서,초역 비트겐슈타인의 말,54774467 ,9788971904770 ,3100,"루트비히 비트겐슈타인 지음, 시라토리 하루히코 엮음, 박재현 옮김",인벤션,20150318,"16,000","14,400",800점,10441,인문학
142,국내도서,고발,343667067 ,9791197903007 ,3800,반디 지음,리베르타스,20221101,"15,000","13,500",750점,8328,소설/시/희곡
143,국내도서,세계 끝의 버섯,322937278 ,9788965642855 ,3300,"애나 로웬하웁트 칭 지음, 노고운 옮김",현실문화,20230830,"35,000","31,500","1,750점",17746,인문학
144,국내도서,만화로 보는 3분 철학 2 : 서양 중세·근대 철학편,282099174 ,9791168270015 ,3160,김재훈.서정욱 지음,카시오페아,20211027,"16,800","15,120",840점,20645,인문학
145,국내도서,권력과 진보,319539452 ,9791193166147 ,3300,"대런 애쓰모글루.사이먼 존슨 지음, 김승진 옮김",생각의힘,20230630,"32,000","28,800","1,600점",13479,사회과학
146,국내도서,왜 나는 너를 사랑하는가 (70만 부 기념 리커버),304662591 ,9788986836837 ,3840,"알랭 드 보통 지음, 정영목 옮김",청미래,20221110,"14,000","12,600",700점,18965,소설/시/희곡
147,국내도서,미움받을 용기 (200만 부 기념 스페셜 에디션),307825504 ,9791168340770 ,3180,"기시미 이치로 외 지음, 전경아 옮김, 김정운 감수",인플루엔셜(주),20221228,"15,900","14,310",790점,26141,인문학
148,국내도서,그대의 차가운 손,326987 ,9788932013046 ,3810,한강 지음,문학과지성사,20020118,"14,000","12,600",700점,21074,소설/시/희곡
149,국내도서,똑게육아,289269344 ,9791197672125 ,13590,로리(김준희) 지음,북로스트,20220223,"22,200","19,980","1,110점",23309,좋은부모
150,국내도서,해커스 토플 리딩 (Hackers TOEFL Reading),323552608 ,9788965425991 ,13740,데이빗 조 (David Cho) 지음,해커스어학연구소(Hackers),20230831,"26,000","23,400","1,300점",18085,외국어
151,국내도서,리틀 라이프 2,85887803 ,9788952776389 ,4840,"한야 야나기하라 지음, 권진아 옮김",시공사,20160616,"14,800","13,320",740점,43259,소설/시/희곡
152,국내도서,[세트] 작별하지 않는다 + 흰 + 소년이 온다 + 채식주의자(리마스터판) - 전4권,349691181 ,,3810,한강 지음,알라딘 이벤트,20140519,"63,300","56,970","3,160점",14770,소설/시/희곡
153,국내도서,종의 기원,74920934 ,9788956609959 ,3810,정유정 지음,은행나무,20160514,"16,800","15,120",840점,44853,소설/시/희곡
154,국내도서,내가 틀릴 수도 있습니다,292691257 ,9791130689890 ,3100,"비욘 나티코 린데블라드 지음, 토마스 산체스 그림, 박미경 옮김",다산초당,20220418,"18,000","16,200",900점,34880,인문학
155,국내도서,5번 레인,251511443 ,9788954674638 ,73810,"은소홀 지음, 노인경 그림",문학동네,20200914,"12,500","11,250",620점,42884,어린이
156,국내도서,밝은 밤,275419192 ,9788954681179 ,3810,최은영 지음,문학동네,20210727,"15,500","13,950",770점,48652,소설/시/희곡
157,국내도서,파쇄,312732931 ,9791168127012 ,4810,구병모 지음,위즈덤하우스,20230308,"13,000","11,700",650점,25763,소설/시/희곡
158,국내도서,JLPT 일본어능력시험 한권으로 끝내기 N1,277362597 ,9788927712411 ,14730,이치우.기타지마 치즈코 지음,다락원,20210818,"27,000","24,300","1,350점",20386,외국어
